address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Santo Antônio,Bela Vista,37,2,0,Apartamento,2200,2814,-22.5959374,-46.5169555
Rua Rocha,Bela Vista,29,1,0,Studio e kitnet,1400,1721,-23.5562382,-46.6498965
Rua Itajaí,Mooca,76,3,1,Apartamento,4200,5319,-23.5507791,-46.6008872
Rua Araguaia,Vila Curuca,64,2,1,Apartamento,3600,4459,-23.6446692,-46.5188522
Rua Barbalha,Alto da Lapa,14,1,0,Studio e kitnet,700,811,-3.728441,-38.4909852
Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677,-23.5703061,-46.7001637
Rodovia Raposo Tavares,Jardim Olympia,55,2,1,Apartamento,1800,2489,-23.2077455,-49.3487535
Rua das Palmeiras,Vila Buarque,12,1,0,Apartamento,2400,2855,-19.7414407,-45.2592025
Rua Pascoal Ranieri Mazzilli,Vila Mendes,67,2,1,Apartamento,2448,3169,-23.6057243,-46.525905
Avenida Condessa Elizabeth de Robiano,Penha de França,62,3,1,Apartamento,2100,2731,-23.529923,-46.58819
Avenida Leonardo da Vinci,Vila Guarani (z Sul),50,2,1,Apartamento,1450,2416,-23.6336538,-46.6368315
Rua Bento Freitas,República,22,1,0,Studio e kitnet,2800,3329,-23.545592,-46.6455747
Rua Desembargador Euclides da Silveira,Casa Verde,49,1,1,Apartamento,3500,4188,-23.507761,-46.6517593
Rua Ribeiro do Vale,Brooklin Paulista,35,1,0,Studio e kitnet,3700,4384,-23.6061744,-46.6817105
Rua Palestina,Vila Mascote,130,3,1,Casa,4000,4311,-23.644053,-46.6682892
Avenida João Pessoa,Jardim Utinga,62,2,1,Apartamento,1900,2406,-23.6191869,-46.5228999
Avenida Vereador José Diniz,Santo Amaro,25,1,0,Studio e kitnet,2600,3048,-23.6272108,-46.6845584
Rua José Mandotti,Vila Augusta,25,1,1,Studio e kitnet,1800,2418,-23.460647,-46.530253
Rua Joaquim Rodrigues Costa,Vila Maria Alta,25,2,0,Casa,1001,1043,-23.500135,-46.5849322
Avenida Cásper Líbero,Centro,27,1,0,Studio e kitnet,2000,2577,-23.5408823,-46.636466
Avenida Giovanni Gronchi,Vila Andrade,98,3,2,Apartamento,2442,4507,-23.6277588,-46.7358968
Rua Bispo Eugênio Demazemod 388 Apto 61,Vila Alpina,49,2,1,Apartamento,1050,1620,-23.5970192,-46.5610232
Rua Rego Freitas,República,20,1,0,Studio e kitnet,1640,2133,-23.5446445,-46.6466037
Rua Bela Cintra,Consolação,48,1,1,Apartamento,2600,3597,-23.5564177,-46.6618937
Rua Guaianases,Campos Elíseos,38,1,1,Apartamento,1500,1998,-23.5393792,-46.6415185
Rua Barão de Tatuí,Vila Buarque,21,1,0,Studio e kitnet,1000,1428,-23.536379,-46.6528834
Rua Xavier Krauss,Vila Leopoldina,35,2,0,Apartamento,2550,3017,-26.933104,-48.96899
Rua Pamplona,Cerqueira César,49,1,1,Apartamento,3000,3967,-23.5637036,-46.6537602
